,x,y
0,14,134
1,15,513
2,18,59
3,26,449
4,27,2411
5,28,92
6,29,254
7,37,402
8,38,1022
9,39,2822
10,40,352
11,41,140
12,50,3872
13,51,4127
14,52,871
15,53,523
16,54,51
17,61,416
18,62,1210
19,63,3033
20,64,932
21,65,451
22,66,70
23,73,323
24,74,1627
25,75,1074
26,76,1549
27,77,5525
28,78,2093
29,79,2923
30,80,212
31,85,138
32,86,261
33,87,201
34,88,138
35,89,3398
36,90,5210
37,91,418
38,98,122
39,101,101
40,102,683
41,103,2297
42,104,1443
43,105,6497
44,106,601
45,108,55
46,127,1951
47,128,204
48,204,74
49,217,9066
50,218,665
51,232,9999
52,233,878
