,x,y,,,,,,,,,
157,3578.254,99.5563,,,,,,,,,
158,3597.544,99.5805,,,,,,,,,
159,3616.833,99.5409,,,,,,,,,
160,3636.123,99.5207,,,,,,,,,
161,3655.413,99.3312,,,,,,,,,
162,3674.703,99.4118,,,,,,,,,
163,3693.993,99.2488,,,,,,,,,
164,3713.282,99.3628,,,,,,,,,
165,3732.572,99.3865,,,,,,,,,
166,3751.862,99.5353,,,,,,,,,
167,3771.152,99.5783,,,,,,,,,
168,3790.441,99.4942,,,,,,,,,
169,3809.731,99.4962,,,,,,,,,
170,3829.021,99.362,,,,,,,,,
171,3848.311,99.398,,,,,,,,,
172,3867.601,99.3233,,,,,,,,,
173,3886.89,99.459,,,,,,,,,
174,3906.18,99.567,,,,,,,,,
175,3925.47,99.4327,,,,,,,,,
176,3944.76,99.4149,,,,,,,,,
177,3964.049,99.3977,,,,,,,,,
178,3983.339,99.3459,,,,,,,,,
