,IR_3490~10,IR_3470~10,IR_3450~10,IR_3430~10,IR_3410~10,IR_3390~10,IR_3370~10,IR_3350~10,IR_3330~10,IR_3310~10,IR_3290~10,IR_3270~10,IR_3250~10,IR_3230~10,IR_3210~10,IR_3190~10,IR_3170~10,IR_3150~10,IR_3130~10,IR_3110~10,IR_3090~10,IR_3070~10,IR_3050~10,IR_3030~10,IR_3010~10,IR_2990~10,IR_2970~10,IR_2950~10,IR_2930~10,IR_2910~10,IR_2890~10,IR_2870~10,IR_2850~10,IR_2830~10,IR_2810~10,IR_2790~10,IR_2770~10,IR_2750~10,IR_2730~10,IR_2710~10,IR_2690~10,IR_2670~10,IR_2650~10,IR_2630~10,IR_2610~10,IR_2590~10,IR_2570~10,IR_2550~10,IR_2530~10,IR_2510~10,IR_2490~10,IR_2470~10,IR_2450~10,IR_2430~10,IR_2410~10,IR_2390~10,IR_2370~10,IR_2350~10,IR_2330~10,IR_2310~10,IR_2290~10,IR_2270~10,IR_2250~10,IR_2230~10,IR_2210~10,IR_2190~10,IR_2170~10,IR_2150~10,IR_2130~10,IR_2110~10,IR_2090~10,IR_2070~10,IR_2050~10,IR_2030~10,IR_2010~10,IR_1990~10,IR_1970~10,IR_1950~10,IR_1930~10,IR_1910~10,IR_1890~10,IR_1870~10,IR_1850~10,IR_1830~10,IR_1810~10,IR_1790~10,IR_1770~10,IR_1750~10,IR_1730~10,IR_1710~10,IR_1690~10,IR_1670~10,IR_1650~10,IR_1630~10,IR_1610~10,IR_1590~10,IR_1570~10,IR_1550~10,IR_1530~10,IR_1510~10,IR_1490~10,IR_1470~10,IR_1450~10,IR_1430~10,IR_1410~10,IR_1390~10,IR_1370~10,IR_1350~10,IR_1330~10,IR_1310~10,IR_1290~10,IR_1270~10,IR_1250~10,IR_1230~10,IR_1210~10,IR_1190~10,IR_1170~10,IR_1150~10,IR_1130~10,IR_1110~10,IR_1090~10,IR_1070~10,IR_1050~10,IR_1030~10,IR_1010~10,IR_990~10,IR_970~10,IR_950~10,IR_930~10,IR_910~10,IR_890~10,IR_870~10,IR_850~10,IR_830~10,IR_810~10,IR_790~10,IR_770~10,IR_750~10,IR_730~10,IR_710~10,IR_690~10,IR_670~10,IR_650~10,IR_630~10,IR_610~10,IR_590~10,IR_570~10,IR_550~10,IR_530~10,IR_510~10,cas
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051181102362204745,0.055118110236220486,0.06692913385826782,0.06692913385826782,0.059055118110236005,0.1614173228346456,0.27559055118110243,0.25196850393700787,0.3307086614173227,0.43700787401574803,0.29527559055118113,0.5748031496062992,1.0,0.7677165354330708,0.6299212598425197,0.48818897637795267,0.5629921259842519,0.47637795275590555,0.20078740157480313,0.11023622047244075,0.082677165354331,0.06692913385826782,0.06692913385826782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051181102362204745,0.1299212598425198,0.07874015748031504,0.0,0.0,0.0,0.0,0.07874015748031504,0.0,0.0,0.09055118110236227,0.07086614173228323,0.055118110236220486,0.09842519685039375,0.09448818897637812,0.09055118110236227,0.1614173228346456,0.10236220472440949,0.055118110236220486,0.059055118110236005,0.21259842519685035,0.874015748031496,0.4842519685039369,0.3307086614173227,0.21259842519685035,0.25984251968503935,0.24015748031496065,0.12598425196850382,0.082677165354331,0.1614173228346456,0.1692913385826771,0.059055118110236005,0.09055118110236227,0.09055118110236227,0.12204724409448853,0.09448818897637812,0.10236220472440949,0.06692913385826782,0.0,0.082677165354331,0.15354330708661412,0.15354330708661412,0.9488188976377953,0.2165354330708661,0.11023622047244075,0.7283464566929134,0.1299212598425198,0.14960629921259838,0.07874015748031504,0.0,0.0,0.0,0.0,0.16535433070866135,0.5984251968503937,0.7677165354330708,0.2834645669291339,0.3228346456692912,0.13385826771653553,0.07874015748031504,0.06692913385826782,0.0,0.0,0.0,0.0,0.1141732283464566,0.25984251968503935,0.09055118110236227,0.0,0.07874015748031504,0.3937007874015749,1585-07-5
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054474708171206254,0.10116731517509725,0.15953307392996108,0.19066147859922178,0.1556420233463035,0.14396887159533078,0.4085603112840467,0.33463035019455256,0.4669260700389105,0.5603112840466926,0.5486381322957199,0.3735408560311285,0.3618677042801556,0.1556420233463035,0.21400778210116722,0.3735408560311285,0.15953307392996108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058365758754863606,0.11673151750972777,0.0,0.05058365758754868,0.0,0.0,0.0,0.0,0.0,0.05058365758754868,0.0,0.0,0.0,0.0,0.06614785992217909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0817120622568096,0.10894941634241229,0.15175097276264593,0.0,0.0,0.0,0.0,0.0,0.0,0.10116731517509725,0.14785992217898836,0.10116731517509725,0.05058365758754868,0.0,0.0,0.0,0.054474708171206254,0.054474708171206254,0.0,0.0,0.0,0.09338521400778232,0.1712062256809339,0.3268482490272373,0.7782101167315176,0.7821011673151751,0.2178988326848248,0.12451361867704269,0.4241245136186771,1.0,0.7159533073929961,0.7976653696498055,0.5797665369649805,0.17509727626459137,0.18287937743190663,0.0817120622568096,0.11284046692606997,0.16342412451361865,0.41634241245136194,0.9416342412451362,0.7198443579766537,1.0,0.9961089494163424,0.27237354085603127,0.4357976653696498,0.7898832684824904,0.21011673151750965,0.0817120622568096,0.33852140077821014,0.30739299610894943,0.4669260700389105,0.27237354085603127,0.8910505836575876,0.46303501945525294,0.2996108949416343,0.09338521400778232,0.09338521400778232,0.09727626459143968,0.07003891050583633,0.05058365758754868,0.058365758754863606,0.10894941634241229,0.7003891050583657,0.6692607003891051,0.42801556420233455,0.07782101167315181,0.0,0.0,0.0,0.07003891050583633,0.0,0.0,0.12062256809338545,0.3151750972762646,0.6731517509727627,0.1712062256809339,0.054474708171206254,0.054474708171206254,0.5875486381322957,104-92-7
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.1333333333333332,0.050000000000000044,0.0,0.0,0.054166666666666696,0.09166666666666656,0.0,0.0,0.0,0.10416666666666663,0.1333333333333332,0.05833333333333335,0.07499999999999973,1.0,0.7333333333333333,0.08750000000000024,0.07083333333333341,0.0,0.08333333333333337,0.1000000000000002,0.44999999999999984,0.7916666666666666,0.8833333333333333,0.3833333333333333,0.19583333333333341,0.1333333333333332,0.7249999999999999,0.1000000000000002,0.0,0.37083333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416666666666663,0.23333333333333328,0.16666666666666663,0.0,0.09166666666666656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054166666666666696,0.050000000000000044,0.0,0.0,0.0,402-43-7
3,0.06194690265486724,0.053097345132743334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05752212389380529,0.09292035398230114,0.11504424778761058,0.14601769911504436,0.2168141592920354,0.1415929203539822,0.2654867256637169,0.9070796460176991,0.5398230088495575,0.570796460176991,0.36283185840707954,0.33628318584070793,0.4070796460176991,0.25663716814159276,0.106194690265487,0.05752212389380529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11061946902654862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053097345132743334,0.0,0.0,0.08849557522123908,0.05752212389380529,0.06637168141592897,0.11061946902654862,0.06637168141592897,0.0,0.05752212389380529,0.19026548672566368,0.747787610619469,0.43805309734513276,0.486725663716814,0.2168141592920354,0.25221238938053103,0.12831858407079644,0.12831858407079644,0.12389380530973426,0.13716814159292068,0.106194690265487,0.10176991150442483,0.06194690265486724,0.05752212389380529,0.07964601769911472,0.07522123893805321,0.07964601769911472,0.08849557522123908,0.053097345132743334,0.10176991150442483,0.2831858407079646,0.6327433628318584,0.2256637168141593,0.23008849557522126,0.12389380530973426,0.23893805309734506,0.07964601769911472,0.12389380530973426,0.06637168141592897,0.0,0.0,0.0,0.053097345132743334,0.14601769911504436,1.0,0.7610619469026548,0.20353982300884965,0.33628318584070793,0.14601769911504436,0.0,0.06194690265486724,0.0,0.0,0.0,0.18141592920353977,0.06194690265486724,0.0,0.0,0.053097345132743334,0.29646017699115035,0.3407079646017699,622-98-0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09236947791164662,0.09236947791164662,0.07228915662650581,0.08433734939759063,0.0963855421686749,0.22891566265060248,0.12851405622489953,0.2369477911646587,0.31726907630522083,0.20481927710843373,0.20080321285140568,0.10441767068273089,0.0963855421686749,0.2369477911646587,0.14457831325301207,0.06024096385542144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052208835341365445,0.06024096385542144,0.05622489959839361,0.05622489959839361,0.0,0.0,0.0,0.0,0.0,0.0,0.05622489959839361,0.0682730923694781,0.06024096385542144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052208835341365445,0.09236947791164662,0.24096385542168686,0.3373493975903614,0.22088353413654616,0.05622489959839361,0.09236947791164662,0.5863453815261045,0.891566265060241,0.39357429718875514,0.28514056224899587,0.1686746987951807,0.10441767068273089,0.06024096385542144,0.05622489959839361,0.05622489959839361,0.08433734939759063,0.19678714859437751,0.6345381526104419,0.6907630522088355,0.9638554216867472,1.0,0.15662650602409633,0.24899598393574307,0.39357429718875514,0.19678714859437751,0.08433734939759063,0.26104417670682734,0.4819277108433736,0.1325301204819278,0.43775100401606437,0.5100401606425704,0.21285140562248994,0.1325301204819278,0.07228915662650581,0.0,0.0,0.0,0.0,0.052208835341365445,0.17269076305220876,0.4457831325301206,0.4337349397590361,0.10441767068273089,0.06024096385542144,0.0,0.0,0.0,0.052208835341365445,0.0,0.23293172690763042,0.40963855421686746,0.2168674698795181,0.0,0.0,0.0,0.06024096385542144,0.1325301204819278,623-12-1
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052863436123347984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303964757709251,0.0925110132158593,0.07929515418502175,0.0,0.0,0.08810572687224683,0.1541850220264318,0.0,0.0,0.06607929515418476,0.13656387665198266,0.11013215859030834,0.08810572687224683,0.25110132158590315,0.8546255506607928,1.0,0.14537444933920718,0.15859030837004406,0.052863436123347984,0.1277533039647577,0.1145374449339207,0.5110132158590308,0.9162995594713654,0.9911894273127753,0.48017621145374456,0.4008810572687225,0.6035242290748897,0.5154185022026432,0.13215859030837018,0.05726872246696035,0.31277533039647565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21145374449339216,0.27753303964757714,0.17621145374449332,0.052863436123347984,0.12334801762114511,0.0,0.052863436123347984,0.052863436123347984,0.0,0.0,0.0,0.0,0.05726872246696035,0.07488986784140983,0.05726872246696035,0.0,0.0,0.1938325991189428,98-56-6
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08859895742295953,0.15020030316828348,0.15103050998425804,0.1872275271607554,0.24667033518454518,0.8912429071073125,1.0,0.5382389689548643,0.48112074001580407,0.26543300922557356,0.29664878550622276,0.2707463328478117,0.1498682204418934,0.0631946288541333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41520231882741176,0.9647992310026721,0.37668072256618523,0.13874344910783243,0.10221434920494499,0.14472093818285037,0.1417321936453413,0.06485504248608287,0.08577625424864554,0.0839497992535011,0.0,0.0,0.0,0.07016836610832089,0.07946668244723776,0.09972372875702074,0.052069857520072094,0.0,0.0,0.06087004976940413,0.061202132495794204,0.22674537160115193,0.42998000015176174,0.09623686012992705,0.6773816313122263,0.8291434372724039,0.11749015461887968,0.0978972737618764,0.0,0.0,0.0,0.0,0.0,0.14206427637173114,0.4045756715829355,0.21279789709277674,0.19768813304203703,0.14804176544674896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09258395013963838,0.10586725919523365,0.0,0.0,0.0,25309-64-2
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06692913385826782,0.11023622047244075,0.1141732283464566,0.06692913385826782,0.10236220472440949,0.22440944881889768,0.12598425196850382,0.22047244094488183,0.3110236220472441,0.21259842519685035,0.18110236220472453,0.10236220472440949,0.09448818897637812,0.23228346456692917,0.12204724409448853,0.06692913385826782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051181102362204745,0.059055118110236005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055118110236220486,0.055118110236220486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055118110236220486,0.051181102362204745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051181102362204745,0.059055118110236005,0.12204724409448853,0.40157480314960625,0.36220472440944873,0.141732283464567,0.082677165354331,0.19685039370078738,1.0,0.6023622047244095,0.2992125984251969,0.15354330708661412,0.082677165354331,0.07086614173228323,0.055118110236220486,0.055118110236220486,0.082677165354331,0.17322834645669305,0.5748031496062992,0.8307086614173229,0.9724409448818897,0.6889763779527558,0.2165354330708661,0.25984251968503935,0.5669291338582678,0.1299212598425198,0.0,0.09842519685039375,0.09842519685039375,0.12204724409448853,0.3031496062992126,0.4842519685039369,0.34251968503937014,0.27559055118110243,0.059055118110236005,0.0,0.0,0.0,0.0,0.0,0.07874015748031504,0.31889763779527547,0.4173228346456692,0.15354330708661412,0.055118110236220486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07086614173228323,0.22440944881889768,0.2440944881889764,0.051181102362204745,0.059055118110236005,0.09842519685039375,696-62-8
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546875,0.0546875,0.06640625000000011,0.06640625000000011,0.0546875,0.0,0.0,0.0,0.0,0.05078125,0.05859374999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06640625000000011,0.08984375,0.0,0.0,0.0,0.0,0.05078125,0.06640625000000011,0.06640625000000011,0.06640625000000011,0.08203125000000022,0.0546875,0.0546875,0.07031249999999978,0.12109375000000033,0.09765625,0.1718750000000001,0.5703125,0.1757812499999999,0.1015625,0.10937499999999978,0.08984375,0.1953125,0.12499999999999989,0.11328125,0.12499999999999989,0.1953125,0.44140625,0.1757812499999999,0.34375,1.0,0.73046875,0.23828125,0.07812500000000011,0.0,0.11328125,0.11328125,0.59765625,0.9765625000000001,0.9687499999999999,0.94921875,0.7695312499999999,0.59765625,0.75,0.2695312499999999,0.06640625000000011,0.3125,0.2109375,0.0,0.0,0.0,0.0,0.07031249999999978,0.0546875,0.09375000000000022,0.703125,0.4296874999999999,0.09765625,0.08203125000000022,0.07812500000000011,0.0546875,0.08203125000000022,0.12499999999999989,0.1640625,0.1289062500000001,0.1328125000000001,0.1640625,0.29296875,0.2187499999999999,0.14453125,0.1289062500000001,0.1289062500000001,455-13-0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1361702127659573,0.20851063829787242,0.1744680851063829,0.05531914893617018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1063829787234043,0.9702127659574469,0.6680851063829788,0.13191489361702158,0.0,0.0,0.23404255319148937,0.6765957446808512,0.5319148936170214,0.8553191489361702,0.16595744680851066,0.0,0.0,0.0,0.0,0.09787234042553195,0.09361702127659566,0.0,0.07659574468085084,0.0,0.0,0.0,0.23404255319148937,0.1063829787234043,1.0,0.48085106382978726,0.5787234042553191,0.12340425531914889,0.20425531914893624,0.12340425531914889,0.17872340425531907,0.08936170212765981,0.05957446808510636,0.05957446808510636,0.0,0.051063829787234005,0.05957446808510636,0.0,0.0,0.051063829787234005,0.07659574468085084,0.7234042553191491,0.8893617021276595,0.1063829787234043,0.06382978723404231,0.1957446808510639,0.0,0.0,0.0,0.05957446808510636,0.0,0.0,0.0,0.0,0.0,109-04-6
